date,arg_temperature,max_temperature,min_temperature,avg_wind,niboshi,agodashi,gyoton,syoturu,bushijikomi,shio,misho,goma,large_s,special_s,egg,bamboo_shoot,shasyu,seaweed,beer,orange,colla,week_end,corana_case,customers,sale
2021/9/27,20.1,24.6,16.6,2.1,23,12,13,6,7,3,,4,23,3,16,11,9,1,0,0,1,,,69,54700
2021/9/28,20.6,26.2,16.7,1.8,22,6,10,8,6,3,,6,18,6,16,4,3,1,0,0,0,,,58,47250
2021/9/29,21.4,26.1,17,1.2,45,22,17,7,10,3,,9,38,12,10,5,7,3,0,0,0,,,111,85500
2021/9/30,23,29.4,17.9,1.1,8,12,12,7,7,6,,4,24,0,12,7,3,4,0,0,1,,,53,44550
2021/10/1,19,20.4,17.1,3.3,21,8,24,7,3,9,,5,28,10,8,9,6,0,1,0,0,,,76,61100
2021/10/2,21.8,28,14.7,1.7,38,21,22,14,9,6,,5,35,10,20,9,4,2,0,0,0,,,110,87500
2021/10/3,21.9,27.7,17.8,1.3,34,23,29,8,14,5,,8,40,13,32,16,7,3,0,0,1,,,105,96350
2021/10/4,23,27.5,18.3,1.7,18,11,9,2,9,1,,2,17,5,7,7,4,1,0,0,0,,,50,40350
2021/10/5,23.9,27.8,19.9,1.8,27,10,16,3,6,3,,5,26,5,15,4,10,1,0,1,1,,,65,55750
2021/10/6,22.3,26.6,19.6,2,33,12,25,3,11,6,,6,36,11,13,16,4,2,1,0,0,,,102,74200
2021/10/7,21.2,24,18.8,1.4,18,17,12,6,5,5,,4,21,5,20,7,4,3,0,0,0,,,67,52900
2021/10/8,24,28.6,20.1,1.5,37,20,19,11,6,6,,10,39,15,29,14,7,5,1,0,2,,,108,87900
2021/10/9,22.4,26,20.1,2.2,41,27,24,7,14,5,,9,42,14,27,7,7,7,0,0,1,,,122,98800
2021/10/10,22.1,27.3,19,1.4,34,23,33,7,9,8,,9,37,17,22,10,10,7,1,0,1,,,117,98050
2021/10/11,23.7,27.5,19.8,2,13,18,11,2,5,4,,3,21,4,11,5,4,1,0,1,1,,,53,44100
2021/10/12,20.5,22.6,17.9,2.4,23,16,13,1,3,5,,2,28,5,14,10,4,2,0,0,2,,,62,50100
2021/10/13,17.2,18.6,15.8,1.9,33,10,27,1,3,3,,5,26,9,19,1,6,0,0,0,0,,,87,63350
2021/10/14,18.9,23.7,15.9,1.3,20,5,10,2,6,2,,7,25,12,8,4,4,0,1,0,0,,,52,41950
2021/10/15,20.1,25,14.9,1.1,25,16,33,4,7,4,,8,30,11,15,7,7,2,1,0,2,,,103,77000
2021/10/16,21,24.5,17.5,1.5,41,24,27,6,5,10,,12,34,12,28,6,13,3,0,0,2,,,110,98450
2021/10/17,15.5,22.7,10.6,2.1,41,26,29,5,7,9,,8,30,15,20,12,11,4,0,0,2,,,116,97950
2021/10/18,12.8,17.3,8.7,1.9,32,17,16,3,7,3,,11,22,7,18,8,3,2,1,0,0,,,88,68850
2021/10/19,13.3,15.4,11.5,1.6,29,20,14,4,3,4,,3,26,7,11,5,4,0,1,0,0,,,76,58800
2021/10/20,16.1,21.7,11.5,2.8,35,19,31,7,5,6,,8,27,9,22,10,7,3,0,1,1,,,103,86600
2021/10/21,14.6,18.1,9.5,1.7,30,25,22,9,5,5,,5,33,18,13,17,6,2,0,0,2,,,97,78600
2021/10/22,11.2,14.8,10.4,1.8,34,20,31,6,7,4,,7,30,12,21,17,10,2,3,0,0,,,99,88400
2021/10/23,13.3,18.7,8.3,2.1,47,27,33,8,11,9,,7,30,14,36,22,12,4,3,1,2,,,126,114550
2021/10/24,12.9,19.3,6.9,0.9,37,37,23,6,9,12,,7,37,14,20,12,13,0,3,1,2,,,114,103950
2021/10/25,14,18.7,9.4,1.4,29,12,27,5,9,6,,4,45,8,16,11,3,3,1,0,0,,,88,72550
2021/10/26,14.5,19.6,11.3,1.9,22,15,16,2,8,5,,7,24,5,11,6,5,1,0,0,2,,,76,58250
2021/10/27,13.6,15.5,10.5,1,36,17,33,5,8,6,,7,44,14,30,15,11,2,1,1,2,,,108,91700
2021/10/28,16.7,21.9,12.6,1.2,38,14,16,3,5,2,,5,30,9,15,8,4,4,1,1,1,,,83,64800
2021/10/29,13.8,19.6,10.2,1.7,25,24,24,7,9,8,,77,33,12,17,6,8,2,1,1,1,,,102,82650
2021/10/30,13.9,20.1,8.5,1.1,42,26,31,7,9,6,,5,35,17,20,12,9,2,3,0,0,,,119,99350
2021/10/31,13.5,16.5,11.1,1.2,53,25,37,11,3,8,,15,53,19,29,13,12,8,2,0,2,,,145,121600
2021/11/1,16.7,20.6,13.3,1.3,38,29,18,6,4,6,,3,33,8,19,13,7,4,1,0,1,,,105,81200
2021/11/2,17,21.6,13.7,1.5,23,18,19,6,6,4,,8,34,7,11,8,6,7,0,0,0,,,84,66300
2021/11/3,15.8,21.1,11.6,1,55,28,38,7,8,11,,10,45,12,30,12,8,4,1,0,0,,,147,121950
2021/11/4,14.9,20,11,1.1,35,27,14,8,1,9,3,5,27,18,16,8,5,6,1,0,0,,,100,79300
2021/11/5,14.4,19.5,10.2,1.1,32,20,21,6,3,4,7,15,49,13,17,12,10,2,2,0,1,,,104,88000
2021/11/6,13.9,19.1,9.1,1.5,52,18,20,6,8,2,9,13,43,15,27,11,7,5,2,0,1,,,129,101150
2021/11/7,14.9,18.7,11.8,1.7,38,30,26,6,10,8,11,11,42,14,23,16,8,3,1,0,1,,,126,110200
2021/11/8,16.1,21.7,12.1,1.6,23,17,19,4,13,4,8,7,34,8,29,9,7,2,3,0,0,,,95,77600
2021/11/9,17.2,19.7,14,1.3,22,17,15,2,2,1,6,5,27,4,14,7,2,1,3,0,0,,,76,55750
2021/11/10,16.8,19.8,13.5,3,24,19,22,3,10,2,8,6,26,16,12,4,7,3,0,0,0,,,91,73450
2021/11/11,16.5,19.8,11.5,2.7,28,22,20,4,13,2,5,7,31,8,14,10,9,0,4,1,3,,,99,81350
2021/11/12,13.9,19.6,8.6,1.7,26,20,24,4,6,4,8,10,39,10,19,10,6,4,1,0,0,,,99,81450
2021/11/13,12.1,17.8,7.4,1.2,42,35,26,5,6,6,6,6,41,17,24,9,10,4,0,0,0,,,125,102900
2021/11/14,13,18.6,7.8,1.3,48,32,30,4,7,5,7,6,30,26,28,20,8,4,2,0,0,,,130,110850
2021/11/15,13.7,20.6,8.2,0.9,35,18,14,1,7,10,5,4,30,6,18,12,4,4,4,2,0,,,92,74800
2021/11/16,13.5,17.6,11,1.6,21,29,33,1,4,1,7,12,25,15,19,9,3,2,4,0,2,,,98,87000
2021/11/17,12.4,17.2,9,1.2,35,13,24,5,2,3,7,3,30,14,13,9,6,3,0,0,0,,,93,71850
2021/11/18,12,16.9,7.8,1,35,17,16,10,6,4,4,9,30,12,20,8,3,1,3,0,1,,,94,79250
2021/11/19,11.5,16.9,8.1,1.1,39,21,26,2,6,2,11,13,50,12,19,6,6,1,1,1,3,,,123,94400
2021/11/20,12.1,17.9,6.9,1.4,51,28,27,10,6,13,10,5,39,22,28,11,14,5,4,1,1,,,135,119700
2021/11/21,12.1,15.8,8,1.1,40,23,25,6,8,7,9,7,37,10,18,9,6,2,2,0,0,,,117,96600
2021/11/22,14.2,19,12.1,1.7,38,22,14,5,10,6,9,12,37,18,19,10,5,0,0,0,1,,,109,90100
2021/11/23,12.9,16.4,7.2,1.3,45,33,27,8,7,7,6,8,40,12,28,11,10,3,2,0,0,,,132,110350
2021/11/24,11.2,15.7,5.9,2.1,20,18,25,8,2,5,8,5,28,7,15,4,10,1,3,0,0,,,95,73150
2021/11/25,11.1,17,3.4,1.4,25,19,16,4,4,3,8,4,31,10,16,7,8,2,0,0,1,,,79,66000
2021/11/26,11.1,17.1,5.5,0.9,31,15,43,10,5,9,8,3,45,13,20,8,4,6,2,0,0,,,124,97450
2021/11/27,8.4,12.8,4.3,2.2,49,35,39,7,6,7,18,14,52,12,37,11,17,5,4,1,1,,,163,140500
2021/11/28,8,13.5,3.8,1.3,43,24,37,6,6,9,11,4,39,17,31,11,8,8,0,0,1,,,135,110000
2021/11/29,7.5,13.6,2.8,1.1,44,19,20,4,4,2,6,6,37,13,25,11,9,5,2,0,1,,,102,84400
2021/11/30,10.8,16.6,2.5,1.6,26,20,19,6,5,5,12,7,30,11,21,3,3,3,2,0,0,,,101,78150
2021/12/1,15.5,20,8.7,2.4,,,,,,,,,,,,,,,,,,,,,
2021/12/2,9.9,13.3,6.9,1.8,,,,,,,,,,,,,,,,,,,,,
2021/12/3,9.4,16,4.4,1.6,,,,,,,,,,,,,,,,,,,,,
2021/12/4,9.2,15.1,3.2,0.9,,,,,,,,,,,,,,,,,,,,,
2021/12/5,7.7,11.2,2.3,1.5,,,,,,,,,,,,,,,,,,,,,
2021/12/6,8.6,11.1,5.7,1.8,,,,,,,,,,,,,,,,,,,,,
2021/12/7,11.5,15.4,8.8,2.2,,,,,,,,,,,,,,,,,,,,,
2021/12/8,9.2,10.4,8.3,2.9,,,,,,,,,,,,,,,,,,,,,
2021/12/9,9.7,13,7.1,2.4,,,,,,,,,,,,,,,,,,,,,
2021/12/10,8,11.9,4.5,1.4,,,,,,,,,,,,,,,,,,,,,
2021/12/11,8.1,13.9,2.1,1,,,,,,,,,,,,,,,,,,,,,
2021/12/12,11.3,16.9,6,1.3,,,,,,,,,,,,,,,,,,,,,
